Date,adj_close,Volume,log_ret,ret,entropy,entropy_norm,vol_rolling,low_entropy,signal,strategy_ret,bench_ret,strategy_ret_net
2008-05-28,4918.35009765625,0,0.011975883645505798,0.012047881666293225,1.584962500721156,1.0,0.407308458504866,0,0,0.0,0.012047881666293225,0.0
2008-05-29,4835.2998046875,0,-0.017029994101201647,-0.01688580343402679,1.584962500721156,1.0,0.40677755256587883,0,0,-0.0,-0.01688580343402679,-0.0
2008-05-30,4870.10009765625,0,0.007171356659648312,0.007197132416693952,1.584962500721156,1.0,0.4056013901552614,0,0,0.0,0.007197132416693952,0.0
2008-06-02,4739.60009765625,0,-0.027161726252020037,-0.02679616381248584,1.584962500721156,1.0,0.40774066275841675,0,0,-0.0,-0.02679616381248584,-0.0
2008-06-03,4715.89990234375,0,-0.005013007232851876,-0.005000463082153295,1.584962500721156,1.0,0.4038502583543775,0,0,-0.0,-0.005000463082153295,-0.0
2008-06-04,4585.60009765625,0,-0.0280187773839173,-0.027629891937007045,1.584962500721156,1.0,0.3774614280434205,0,0,-0.0,-0.027629891937007045,-0.0
2008-06-05,4676.9501953125,0,0.019725249885616313,0.019921078094651046,1.584962500721156,1.0,0.3652354211579583,0,0,0.0,0.019921078094651046,0.0
2008-06-06,4627.7998046875,0,-0.010564678851926567,-0.010509068639272923,1.584962500721156,1.0,0.35082804344224866,0,0,-0.0,-0.010509068639272923,-0.0
2008-06-09,4500.9501953125,0,-0.027793021981505187,-0.027410349351437824,1.584962500721156,1.0,0.3495487230285835,0,0,-0.0,-0.027410349351437824,-0.0
2008-06-10,4449.7998046875,0,-0.011429421544689062,-0.011364353837612029,1.584962500721156,1.0,0.33017874309302514,0,0,-0.0,-0.011364353837612029,-0.0
2008-06-11,4523.60009765625,0,0.016449051147708362,0.016585081623449183,1.584962500721156,1.0,0.33014197139819834,0,0,0.0,0.016585081623449183,0.0
2008-06-12,4539.35009765625,0,0.003475692907089307,0.0034817401317503993,1.584962500721156,1.0,0.33021889492304934,0,0,0.0,0.0034817401317503993,0.0
2008-06-13,4517.10009765625,0,-0.0049136348760890885,-0.004901582720285957,1.584962500721156,1.0,0.3285331526615994,0,0,-0.0,-0.004901582720285957,-0.0
2008-06-16,4572.5,0,0.012189884648677788,0.01226448410397074,1.584962500721156,1.0,0.32924201601734326,0,0,0.0,0.01226448410397074,0.0
2008-06-17,4653.0,0,0.017452071579627682,0.017605248769819504,1.584962500721156,1.0,0.32523671516671876,0,0,0.0,0.017605248769819504,0.0
2008-06-18,4582.39990234375,0,-0.015289315829534852,-0.015173027650171922,1.584962500721156,1.0,0.3224025686724511,0,0,-0.0,-0.015173027650171922,-0.0
2008-06-19,4504.25,0,-0.017201461519304104,-0.017054361035530485,1.584962500721156,1.0,0.32325921715386424,0,0,-0.0,-0.017054361035530485,-0.0
2008-06-20,4347.5498046875,0,-0.035408972395669855,-0.03478940896098126,1.584962500721156,1.0,0.32473327137194624,0,0,-0.0,-0.03478940896098126,-0.0
2008-06-23,4266.39990234375,0,-0.018842065703361617,-0.01866566364720068,1.584962500721156,1.0,0.3208666049726354,0,0,-0.0,-0.01866566364720068,-0.0
2008-06-24,4191.10009765625,0,-0.017807104801721943,-0.017649495221048972,1.584962500721156,1.0,0.32194715268491647,0,0,-0.0,-0.017649495221048972,-0.0
2008-06-25,4252.64990234375,0,0.014579042457853951,0.014685835044102147,1.584962500721156,1.0,0.31155060790485556,0,0,0.0,0.014685835044102147,0.0
